Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C6",0402,3,4.7u,C82453
C10,0402,1,1p,C1550
C11,0402,1,4.7p,C85883
C12,0402,1,2.2n,C126534
"C14, C18, C2, C21",0402,4,100n,C1525
"C15, C17, C19",0402,3,1u,C52923
"C16, C7",0402,2,10n,C15195
"C3, C4",0402,2,12p,C1547
C5,0402,1,33n,C301940
C8,0402,1,1n,C1523
C9,0402,1,1.5p,C1552
D1,0603,1,Power,C2286
J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0_14P,C319148
J2,PinHeader_2x05_P1.27mm_Vertical_SMD,1,SWD,C4943297
L1,0402,1,8.2n,C90138
L2,0402,1,2.7n,C108255
L3,0402,1,3.9n,C14033
R1,0402,1,22k,C25768
"R2, R3",0402,2,5k1,C25905
R4,0603,1,10k,C25804
R5,0402,1,2k2,C25879
SW1,SW_SPST_B3U-1000P,1,NRST,C231329
SW2,SW_SPST_B3U-1000P,1,BOOT0,C231329
U1,QFN-28_4x4mm_P0.5mm,1,STM32F042G6U6,C961597
U2,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,nRF24L01P,C8791
U3,SOT-666,1,USBLC6-2P6,C2827693
U5,SOT-353_SC-70-5,1,MIC5365-3.3YC5,C3021118
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C13738
