Designator,Mid X,Mid Y,Rotation,Layer
C1,119.84,-80.6,180.0,top
C10,136.39,-75.03,270.0,top
C11,136.88,-81.37,0.0,top
C12,136.88,-80.37,0.0,top
C13,121.82,-81.9,180.0,top
C14,121.82,-80.9,180.0,top
C15,120.62,-71.8,180.0,top
C16,120.62,-72.8,180.0,top
C17,111.4,-87.5,270.0,top
C18,112.1,-84.9,0.0,top
C19,117.04,-87.27,270.0,top
C2,119.84,-79.5,180.0,top
C21,122.6,-72.0,180.0,top
C3,128.81,-83.22,90.0,top
C4,134.07,-83.2,270.0,top
C5,128.73,-75.04,180.0,top
C6,130.69,-72.99,0.0,top
C7,130.69,-73.99,0.0,top
C8,130.69,-75.04,0.0,top
C9,136.38,-76.95,90.0,top
D1,119.43,-87.25,90.0,top
J1,104.9755,-83.7,270.0,top
J2,114.6,-74.7,270.0,top
L1,134.42,-78.84,270.0,top
L2,135.43,-79.88,90.0,top
L3,135.87,-78.38,0.0,top
R1,132.79,-75.12,90.0,top
R2,109.4,-85.1,0.0,top
R3,109.5,-81.7,90.0,top
R4,126.4,-72.0,180.0,top
R5,120.83,-87.45,90.0,top
SW1,104.0,-74.5,90.0,top
SW2,107.5,-74.5,270.0,top
U1,121.92,-75.9625,180.0,top
U2,130.245,-78.725,270.0,top
U3,112.1,-82.7,90.0,top
U5,114.81,-87.4475,0.0,top
Y1,131.43,-83.27,0.0,top
